downloadable,free,id,name,url,pdf_url
TRUE,TRUE,457183,Main Street Slouchy Hat,,http://cdn.shopify.com/s/files/1/0238/4209/files/Main_Street_Slouchy_Hat_46f1c5af-4d13-4dc8-b001-080910ad18ff.pdf?4813
TRUE,TRUE,162179,Sonic the Hedgehot Hat,,http://www.ravelry.com/dls/wendy-young-designs/29460?filename=Sonic_Hat.pdf
TRUE,TRUE,175811,Norrsunda Bladkrans Hat,http://www.kajsasticks.se/en/patterns_for_hand_knitting/knitting_goes_medieval/norrsunda_bladkrans_hat_mitten.htm,http://www.kajsasticks.se/downloads/pdf_en_free_norrsunda_bladkrans_hat-mittens.pdf
TRUE,TRUE,450756,F522 Neon Striped Hat,https://www.plymouthyarn.com/f522,https://www.plymouthyarn.com/sites/default/files/F522%20Encore%20Worsted%20Neon%20Striped%20Hat_0.pdf
TRUE,TRUE,300723,Fair Isle Hat #6209,,https://web.archive.org/web/20141222111629/https://spinrite.s3.amazonaws.com/assets/files/pattern-files/pdf/Bernat_Mosaicweb8_kn_hat.en_US.pdf
TRUE,TRUE,331276,Just Right Big Head Hat,,http://springstitches.files.wordpress.com/2011/01/evinok_justrightbigheadhat_v1.pdf
TRUE,TRUE,195795,Boyfriend Hat,,http://knit1slip1.files.wordpress.com/2010/08/k1sl1s-boyfriend-hat.pdf
TRUE,TRUE,164949,Wilf's Hat,,http://wollphilie.files.wordpress.com/2010/02/wilfs-hat.pdf
TRUE,TRUE,217073,Estonian Sock Hat,,http://www.ravelry.com/dls/carolyn-vance-designs/52837?filename=Estonian_Sock_Hat.pdf
TRUE,TRUE,386821,Heritage Cable Hat,https://acraftybritinberlin.wordpress.com/patterns/,http://acraftybritinberlin.files.wordpress.com/2013/01/heritage-cable-hat-pattern.pdf
TRUE,TRUE,214063,Cabled Hat,,http://www.hoppeta.org/patterns/cabledhat.pdf
TRUE,TRUE,268480,Blue and white ski hat,,https://sites.google.com/site/lindasknittingdocuments/blue-and-white-ski-hat/Blueandwhiteskihat.pdf?attredirects=0&d=1
TRUE,TRUE,159773,Annie's Prairie Hat,,http://maryparadox.files.wordpress.com/2010/01/annies-prairie-hat.pdf
